A_ID,Name,Collection_Date,DOB,Age_at_collection_yrs,Date_of_SN,SN_at_collection,Sex,Heath_Status,Surrendered,Temperment,Tongue,Feces,Feces_Storage,Mortem_Collection,Toxocara (roundworms),Cystoisospora felis (Coccidia),Sarco-like,Toxoplasma,Nemex_1,Nemex_2,Nemex_3,Panacur_1,Ponazuril_1,Ponazuril_2,Days since last Nemex
A282676,Scarlet,9/1/2025,5/1/2021,4.333333333,4/14/2021,Fixed,spayed_female,healthy,T,social,F,T,refrigerated,pre_mortem,F,F,F,F,8/30/2025,10/16/2025,,,,,2
A318801,Rainbow,4/19/2025,2/21/2023,2.161111111,2/27/2025,Fixed,spayed_female,sick,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,2/21/2025,,,,,,57
A319603,Reese/Gladys,4/16/2025,3/28/2023,2.05,4/2/2025,Fixed,spayed_female,sick,T,social,F,T,refrigerated,pre_mortem,F,F,F,F,3/28/2025,,,,,,19
A319666,Willoughby,4/16/2025,4/2/2024,1.038888889,4/8/2025,Fixed,neutered_male,healthy,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,4/2/2025,,,,,,14
A319735,Cheeks,4/18/2025,NA,NA,NA,NA,male,sick,F,unsocial,T,T,frozen,post_mortem,F,F,F,F,4/4/2025,,,,,,14
A319737,na,4/18/2025,4/15/2017,8.008333333,4/15/2025,Fixed,spayed_female,other,F,unsocial,F,T,refrigerated,pre_mortem,F,F,F,F,NA,,,,,,45765
A319738,na,4/16/2025,10/15/2024,0.5027777778,4/15/2025,Fixed,spayed_female,other,F,unsocial,F,T,refrigerated,pre_mortem,T,F,F,F,,,,,,,45763
A319742,Levi,4/16/2025,4/17/2029,4.002777778,4/17/2025,Intact,neutered_male,healthy,F,unsocial,F,T,refrigerated,pre_mortem,F,F,F,F,4/5/2025,,,,,,11
A319818,Morgan,4/16/2025,4/10/2023,2.016666667,4/15/2025,Fixed,neutered_male,healthy,F,unsocial,F,T,refrigerated,pre_mortem,F,F,F,F,4/10/2025,,,,,,6
A319899,na,4/18/2025,4/14/2024,1.011111111,NA,NA,female,healthy,F,unsocial,F,T,refrigerated,pre_mortem,F,F,F,F,NA,,,,,,45765
A319903,na,4/16/2025,4/14/2024,1.005555556,4/16/2025,Fixed,spayed_female,other,F,unsocial,F,T,refrigerated,pre_mortem,F,F,F,F,NA,,,,,,45763
A319911,na,4/22/2025,NA,NA,NA,NA,female,sick,F,unknown,T,T,refrigerated,post_mortem,T,T,T,F,,,,,,,45769
A319921,na,4/19/2025,4/15/2024,1.011111111,4/22/2025,Intact,neutered_male,healthy,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,4/15/2025,,,,,,4
A319991,na,4/19/2025,4/17/2023,2.005555556,NA,NA,NA,healthy,F,unknown,F,T,refrigerated,pre_mortem,F,T,F,F,NA,,,,,,45766
A319998,Bixby,4/19/2025,4/22/2023,1.991666667,4/24/2025,Intact,neutered_male,healthy,F,social,F,T,refrigerated,pre_mortem,T,F,F,F,4/17/2025,,,,,,2
A320012,Coco,4/19/2025,4/18/2024,1.002777778,6/20/2025,Intact,female,healthy,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,4/19/2025,5/17/2025,6/14/2025,,,,0
