a_id,collection_date,age_at_collection_yrs,sn_at_collection,sex,health_status,surrendered,temperament,parasite,nemex_1,nemex_2,nemex_3,nemex_dose_number,ponazuril_dose_number,panacur_dose_number,age_group,parasite_type,results
A282676,2025-09-01,4.333333333333333,Fixed,spayed_female,healthy,TRUE,social,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A282676,2025-09-01,4.333333333333333,Fixed,spayed_female,healthy,TRUE,social,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A282676,2025-09-01,4.333333333333333,Fixed,spayed_female,healthy,TRUE,social,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),sarco_like,FALSE
A282676,2025-09-01,4.333333333333333,Fixed,spayed_female,healthy,TRUE,social,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),toxoplasma,FALSE
A318801,2025-04-19,2.161111111111111,Fixed,spayed_female,sick,FALSE,social,FALSE,2025-02-21,NA,NA,1,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A318801,2025-04-19,2.161111111111111,Fixed,spayed_female,sick,FALSE,social,FALSE,2025-02-21,NA,NA,1,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A318801,2025-04-19,2.161111111111111,Fixed,spayed_female,sick,FALSE,social,FALSE,2025-02-21,NA,NA,1,0,0,Adult (> 6 months),sarco_like,FALSE
A318801,2025-04-19,2.161111111111111,Fixed,spayed_female,sick,FALSE,social,FALSE,2025-02-21,NA,NA,1,0,0,Adult (> 6 months),toxoplasma,FALSE
A319603,2025-04-16,2.05,Fixed,spayed_female,sick,TRUE,social,FALSE,2025-03-28,NA,NA,1,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A319603,2025-04-16,2.05,Fixed,spayed_female,sick,TRUE,social,FALSE,2025-03-28,NA,NA,1,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A319603,2025-04-16,2.05,Fixed,spayed_female,sick,TRUE,social,FALSE,2025-03-28,NA,NA,1,0,0,Adult (> 6 months),sarco_like,FALSE
A319603,2025-04-16,2.05,Fixed,spayed_female,sick,TRUE,social,FALSE,2025-03-28,NA,NA,1,0,0,Adult (> 6 months),toxoplasma,FALSE
A319666,2025-04-16,1.038888888888889,Fixed,neutered_male,healthy,FALSE,social,FALSE,2025-04-02,NA,NA,1,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A319666,2025-04-16,1.038888888888889,Fixed,neutered_male,healthy,FALSE,social,FALSE,2025-04-02,NA,NA,1,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A319666,2025-04-16,1.038888888888889,Fixed,neutered_male,healthy,FALSE,social,FALSE,2025-04-02,NA,NA,1,0,0,Adult (> 6 months),sarco_like,FALSE
A319666,2025-04-16,1.038888888888889,Fixed,neutered_male,healthy,FALSE,social,FALSE,2025-04-02,NA,NA,1,0,0,Adult (> 6 months),toxoplasma,FALSE
A319735,2025-04-18,NA,NA,male,sick,FALSE,unsocial,FALSE,2025-04-04,NA,NA,1,0,0,NA,toxocara_roundworms,FALSE
A319735,2025-04-18,NA,NA,male,sick,FALSE,unsocial,FALSE,2025-04-04,NA,NA,1,0,0,NA,cystoisospora_felis_coccidia,FALSE
A319735,2025-04-18,NA,NA,male,sick,FALSE,unsocial,FALSE,2025-04-04,NA,NA,1,0,0,NA,sarco_like,FALSE
A319735,2025-04-18,NA,NA,male,sick,FALSE,unsocial,FALSE,2025-04-04,NA,NA,1,0,0,NA,toxoplasma,FALSE
