A_ID,Name,Collection_Date,DOB,Age_at_collection_yrs,Date_of_SN,SN_at_collection,Sex,Health_Status,Surrendered,Temperament,Tongue,Feces,Feces_Storage,Mortem_Collection,Toxocara (roundworms),Cystoisospora felis (Coccidia),Sarco-like,Toxoplasma,Parasite,Nemex_1,Nemex_2,Nemex_3,Panacur_1,Ponazuril_1,Ponazuril_2,Days since last Nemex
A282676,Scarlet,2025-09-01,2021-05-01,4.333333333333333,2021-04-14,Fixed,spayed_female,healthy,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-08-30,NA,NA,NA,NA,NA,2
A318801,Rainbow,2025-04-19,2023-02-21,2.161111111111111,2025-02-27,Fixed,spayed_female,sick,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-02-21,NA,NA,NA,NA,NA,57
A319603,Reese/Gladys,2025-04-16,2023-03-28,2.05,2025-04-02,Fixed,spayed_female,sick,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-03-28,NA,NA,NA,NA,NA,19
A319666,Willoughby,2025-04-16,2024-04-02,1.038888888888889,2025-04-08,Fixed,neutered_male,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-04-02,NA,NA,NA,NA,NA,14
A319735,Cheeks,2025-04-18,NA,NA,NA,NA,male,sick,FALSE,unsocial,TRUE,TRUE,frozen,post_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-04-04,NA,NA,NA,NA,NA,14
A319737,NA,2025-04-18,2017-04-15,8.008333333333333,2025-04-15,Fixed,spayed_female,other,FALSE,unsocial,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,45765
A319738,NA,2025-04-16,2024-10-15,0.5027777777777778,2025-04-15,Fixed,spayed_female,other,FALSE,unsocial,FALSE,TRUE,refrigerated,pre_mortem,TRUE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,45763
A319742,Levi,2025-04-16,2029-04-17,4.002777777777778,2025-04-17,Intact,neutered_male,healthy,FALSE,unsocial,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-04-05,NA,NA,NA,NA,NA,11
A319818,Morgan,2025-04-16,2023-04-10,2.0166666666666666,2025-04-15,Fixed,neutered_male,healthy,FALSE,unsocial,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-04-10,NA,NA,NA,NA,NA,6
A319899,NA,2025-04-18,2024-04-14,1.011111111111111,NA,NA,female,healthy,FALSE,unsocial,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,45765
A319903,NA,2025-04-16,2024-04-14,1.0055555555555555,2025-04-16,Fixed,spayed_female,other,FALSE,unsocial,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,45763
A319911,NA,2025-04-22,NA,NA,NA,NA,female,sick,FALSE,unknown,TRUE,TRUE,refrigerated,post_mortem,TRUE,TRUE,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,45769
A319921,NA,2025-04-19,2024-04-15,1.011111111111111,2025-04-22,Intact,neutered_male,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-04-15,NA,NA,NA,NA,NA,4
A319991,NA,2025-04-19,2023-04-17,2.0055555555555555,NA,NA,unknown,healthy,FALSE,unknown,FALSE,TRUE,refrigerated,pre_mortem,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,45766
A319998,Bixby,2025-04-19,2023-04-22,1.9916666666666667,2025-04-24,Intact,neutered_male,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,TRUE,FALSE,FALSE,FALSE,TRUE,2025-04-17,NA,NA,NA,NA,NA,2
A320012,Coco,2025-04-19,2024-04-18,1.0027777777777778,2025-06-20,Intact,female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-04-19,NA,NA,NA,NA,NA,0
A320362,Havana,2025-09-02,2023-10-29,1.8416666666666666,2025-08-19,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-08-15,NA,NA,NA,NA,NA,18
A320406,Dandelion,2025-06-07,2024-04-30,1.1027777777777779,NA,Fixed,spayed_female,other,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,TRUE,FALSE,FALSE,TRUE,2025-04-30,2025-05-26,NA,NA,NA,NA,12
A320428,Meryl Streep,2025-06-06,2024-05-01,1.0972222222222223,2025-05-21,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-05-04,NA,NA,NA,NA,NA,33
A320576,Hestia,2025-06-09,2024-05-04,1.0972222222222223,2025-06-10,Intact,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,TRUE,TRUE,FALSE,FALSE,TRUE,2025-05-04,2025-06-05,NA,NA,NA,NA,4
A320907,Vivian,2025-06-09,2023-05-11,2.077777777777778,2025-06-09,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-05-11,2025-06-05,NA,NA,NA,NA,4
