a_id,collection_date,dob,age_at_collection_yrs,date_of_sn,sn_at_collection,sex,heath_status,surrendered,temperment,tongue,feces,feces_storage,mortem_collection,toxocara_roundworms,cystoisospora_felis_coccidia,sarco_like,toxoplasma,nemex_1,nemex_2,nemex_3,panacur_1,ponazuril_1,ponazuril_2,days_since_last_nemex
A282676,2025-09-01,2021-05-01,4.333333333000001,2021-04-14,Fixed,spayed_female,healthy,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-08-30,2025-10-16,NA,NA,NA,NA,2
A318801,2025-04-19,2023-02-21,2.1611111110000003,2025-02-27,Fixed,spayed_female,sick,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-02-21,NA,NA,NA,NA,NA,57
A319603,2025-04-16,2023-03-28,2.05,2025-04-02,Fixed,spayed_female,sick,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-03-28,NA,NA,NA,NA,NA,19
A319666,2025-04-16,2024-04-02,1.038888889,2025-04-08,Fixed,neutered_male,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-04-02,NA,NA,NA,NA,NA,14
A319735,2025-04-18,NA,NA,NA,NA,male,sick,FALSE,unsocial,TRUE,TRUE,frozen,post_mortem,FALSE,FALSE,FALSE,FALSE,2025-04-04,NA,NA,NA,NA,NA,14
A319737,2025-04-18,2017-04-15,8.008333333,2025-04-15,Fixed,spayed_female,other,FALSE,unsocial,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,45765
A319738,2025-04-16,2024-10-15,0.5027777778,2025-04-15,Fixed,spayed_female,other,FALSE,unsocial,FALSE,TRUE,refrigerated,pre_mortem,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,45763
A319742,2025-04-16,2029-04-17,4.002777778,2025-04-17,Intact,neutered_male,healthy,FALSE,unsocial,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-04-05,NA,NA,NA,NA,NA,11
A319818,2025-04-16,2023-04-10,2.0166666669999995,2025-04-15,Fixed,neutered_male,healthy,FALSE,unsocial,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-04-10,NA,NA,NA,NA,NA,6
A319899,2025-04-18,2024-04-14,1.011111111,NA,NA,female,healthy,FALSE,unsocial,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,45765
A319903,2025-04-16,2024-04-14,1.005555556,2025-04-16,Fixed,spayed_female,other,FALSE,unsocial,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,45763
A319911,2025-04-22,NA,NA,NA,NA,female,sick,FALSE,unknown,TRUE,TRUE,refrigerated,post_mortem,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,45769
A319921,2025-04-19,2024-04-15,1.011111111,2025-04-22,Intact,neutered_male,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-04-15,NA,NA,NA,NA,NA,4
A319991,2025-04-19,2023-04-17,2.005555556,NA,NA,NA,healthy,FALSE,unknown,FALSE,TRUE,refrigerated,pre_mortem,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,45766
A319998,2025-04-19,2023-04-22,1.9916666669999996,2025-04-24,Intact,neutered_male,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,TRUE,FALSE,FALSE,FALSE,2025-04-17,NA,NA,NA,NA,NA,2
A320012,2025-04-19,2024-04-18,1.002777778,2025-06-20,Intact,female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-04-19,2025-05-17,2025-06-14,NA,NA,NA,0
A320362,2025-09-02,2023-10-29,1.8416666669999997,2025-08-19,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-04-29,2025-08-15,NA,NA,NA,NA,18
A320406,2025-06-07,2024-04-30,1.102777778,NA,Fixed,spayed_female,other,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,TRUE,FALSE,FALSE,2025-04-30,2025-05-26,NA,NA,NA,NA,12
A320428,2025-06-06,2024-05-01,1.0972222219999999,2025-05-21,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-05-04,NA,NA,NA,NA,NA,33
