a_id,collection_date,age_at_collection_yrs,sn_at_collection,sex,health_status,surrendered,temperament,toxocara_roundworms,cystoisospora_felis_coccidia,sarco_like,toxoplasma,parasite,nemex_dose_number,ponazuril_dose_number,panacur_dose_number,age_group
A282676,2025-09-01,4.333333333333333,Fixed,spayed_female,healthy,TRUE,social,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,Adult (> 6 months)
A318801,2025-04-19,2.161111111111111,Fixed,spayed_female,sick,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A319603,2025-04-16,2.05,Fixed,spayed_female,sick,TRUE,social,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A319666,2025-04-16,1.038888888888889,Fixed,neutered_male,healthy,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A319735,2025-04-18,NA,NA,male,sick,FALSE,unsocial,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,NA
A319737,2025-04-18,8.008333333333333,Fixed,spayed_female,other,FALSE,unsocial,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,Adult (> 6 months)
A319738,2025-04-16,0.5027777777777778,Fixed,spayed_female,other,FALSE,unsocial,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,Adult (> 6 months)
A319742,2025-04-16,4.002777777777778,Intact,neutered_male,healthy,FALSE,unsocial,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A319818,2025-04-16,2.0166666666666666,Fixed,neutered_male,healthy,FALSE,unsocial,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A319899,2025-04-18,1.011111111111111,NA,female,healthy,FALSE,unsocial,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,Adult (> 6 months)
A319903,2025-04-16,1.0055555555555555,Fixed,spayed_female,other,FALSE,unsocial,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,Adult (> 6 months)
A319911,2025-04-22,NA,NA,female,sick,FALSE,unknown,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,NA
A319921,2025-04-19,1.011111111111111,Intact,neutered_male,healthy,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A319991,2025-04-19,2.0055555555555555,NA,unknown,healthy,FALSE,unknown,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,Adult (> 6 months)
A319998,2025-04-19,1.9916666666666667,Intact,neutered_male,healthy,FALSE,social,TRUE,FALSE,FALSE,FALSE,TRUE,1,0,0,Adult (> 6 months)
A320012,2025-04-19,1.0027777777777778,Intact,female,healthy,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,Adult (> 6 months)
A320362,2025-09-02,1.8416666666666666,Fixed,spayed_female,healthy,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,Adult (> 6 months)
A320406,2025-06-07,1.1027777777777779,Fixed,spayed_female,other,FALSE,social,FALSE,TRUE,FALSE,FALSE,TRUE,2,0,0,Adult (> 6 months)
A320428,2025-06-06,1.0972222222222223,Fixed,spayed_female,healthy,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A320576,2025-06-09,1.0972222222222223,Intact,spayed_female,healthy,FALSE,social,TRUE,TRUE,FALSE,FALSE,TRUE,2,0,0,Adult (> 6 months)
A320907,2025-06-09,2.077777777777778,Fixed,spayed_female,healthy,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,Adult (> 6 months)
A320925,2025-06-09,1.075,Fixed,neutered_male,other,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,Adult (> 6 months)
A320997,2025-06-09,0.7388888888888889,Intact,spayed_female,healthy,TRUE,social,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A321008,2025-06-06,1.5638888888888889,Fixed,neutered_male,other,TRUE,social,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A321551,2025-06-09,1.0416666666666667,Intact,neutered_male,healthy,FALSE,social,TRUE,FALSE,FALSE,FALSE,TRUE,1,0,0,Adult (> 6 months)
A321616,2025-09-03,1.261111111111111,Fixed,spayed_female,other,TRUE,social,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,0,Adult (> 6 months)
A321647,2025-06-08,0.25833333333333336,Fixed,spayed_female,healthy,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,0,Juvenile (3-6 months)
A321768,2025-06-07,1.1861111111111111,Fixed,neutered_male,other,TRUE,social,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A323391,2025-09-01,1.0944444444444446,Intact,female,healthy,FALSE,unsocial,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A323413,2025-09-03,0.4,Fixed,spayed_female,healthy,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,0,Juvenile (3-6 months)
A323434,2025-09-02,1.0944444444444446,Fixed,spayed_female,healthy,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A323496,2025-09-02,2.088888888888889,Fixed,spayed_female,healthy,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A323535,2025-09-03,0.7833333333333333,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,TRUE,FALSE,TRUE,2,0,0,Adult (> 6 months)
A323653,2025-09-02,3.077777777777778,Fixed,spayed_female,healthy,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A323682,2025-09-02,2.075,Fixed,neutered_male,sick,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A323692,2025-09-02,2.075,Fixed,spayed_female,healthy,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,Adult (> 6 months)
A323815,2025-09-03,4.563888888888889,Fixed,spayed_female,healthy,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A323859,2025-09-01,0.3888888888888889,Intact,female,other,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,0,Juvenile (3-6 months)
A323922,2025-09-03,0.34444444444444444,Fixed,female,other,FALSE,social,FALSE,TRUE,FALSE,FALSE,TRUE,2,0,0,Juvenile (3-6 months)
A323924,2025-09-01,0.35555555555555557,Intact,unknown,other,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,Juvenile (3-6 months)
A323932,2025-09-02,1.05,Fixed,female,other,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,Adult (> 6 months)
A323959,2025-09-02,0.2972222222222222,Intact,male,other,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Juvenile (3-6 months)
A323961,2025-09-02,0.4166666666666667,Fixed,female,other,FALSE,social,FALSE,TRUE,FALSE,FALSE,TRUE,1,0,0,Juvenile (3-6 months)
A323986,2025-09-02,0.3972222222222222,Intact,male,healthy,TRUE,social,FALSE,TRUE,FALSE,FALSE,TRUE,1,0,0,Juvenile (3-6 months)
A324055,2025-09-01,2.036111111111111,Fixed,spayed_female,healthy,TRUE,social,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A324098,2025-09-01,3.3833333333333333,Fixed,spayed_female,healthy,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,Adult (> 6 months)
A324103,2025-09-01,1.4972222222222222,Intact,female,healthy,FALSE,social,FALSE,TRUE,FALSE,FALSE,TRUE,1,0,0,Adult (> 6 months)
A324110,2025-09-01,4.030555555555556,NA,neutered_male,other,TRUE,social,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A324181,2025-09-02,0.8527777777777777,Fixed,male,healthy,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A324196,2025-09-01,11.027777777777779,Fixed,spayed_female,healthy,TRUE,social,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A324220,2025-09-02,1.0277777777777777,Fixed,spayed_female,healthy,TRUE,social,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A324265,2025-09-02,1.025,Fixed,female,healthy,FALSE,social,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A324329,2025-09-05,1.525,Fixed,spayed_female,healthy,TRUE,social,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,Adult (> 6 months)
A324395,2025-09-05,NA,NA,unknown,sick,FALSE,unsocial,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NA
A324503,2025-09-01,0.3388888888888889,Intact,unknown,healthy,FALSE,unsocial,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,Juvenile (3-6 months)
A324522,2025-09-01,0.25277777777777777,Intact,female,healthy,TRUE,social,TRUE,FALSE,FALSE,FALSE,TRUE,2,0,0,Juvenile (3-6 months)
